MatchId;HomeTeam;HomeTeamId;VisitTeam;VisitTeamId;MapName;ScheduleDate;StatsId;Map;Rounds;Duration;DamageRED;FragsRED;DamageBLU;FragsBLU;ScoreRED;ScoreBLU;ScoresBLU;RoundTimes
39666;Math Camp;9407;Blood bath and beyond;8128;koth_coalplant_b7;2014-02-17 00:00:00;156947;koth_coalplant_b7;4;1283;38663;115;47928;173;0;4;1|1|1|1;368|267|278|370
39667;Dogechester United;9541;Target-Acquired Gaming Clan;8764;koth_coalplant_b7;2014-02-17 00:00:00;157236;koth_coalplant_b7;2;647;22803;88;22441;82;1;1;0|1;304|343
39667;Dogechester United;9541;Target-Acquired Gaming Clan;8764;koth_coalplant_b7;2014-02-17 00:00:00;157173;koth_coalplant_b7;4;1879;54497;219;51964;184;3;1;0|1|0|0;345|405|402|727
39668;Chance Time Winners;10368;Team Never Sober;6448;koth_coalplant_b7;2014-02-17 00:00:00;157058;koth_coalplant_b7;1;302;10864;46;8798;25;1;0;0;302
39668;Chance Time Winners;10368;Team Never Sober;6448;koth_coalplant_b7;2014-02-17 00:00:00;157004;koth_coalplant_b7;4;1444;45464;153;51593;202;1;3;1|1|0|1;329|380|408|327
39674;Team Celebrity;8044;Lunar Eclipse Squad;7820;koth_coalplant_b7;2014-02-17 00:00:00;157178;koth_coalplant_b7;2;707;24924;85;26115;104;1;1;0|1;396|311
39674;Team Celebrity;8044;Lunar Eclipse Squad;7820;koth_coalplant_b7;2014-02-17 00:00:00;157109;koth_coalplant_b7;3;1033;36740;132;33610;109;3;0;0|0|0;383|332|318
39676;Trigger Company;8889;Kobe Kush;8963;koth_coalplant_b7;2014-02-17 00:00:00;157078;koth_coalplant_b7;1;241;7152;15;10004;40;0;1;1;241
39676;Trigger Company;8889;Kobe Kush;8963;koth_coalplant_b7;2014-02-17 00:00:00;157021;koth_coalplant_b7;3;1086;35321;108;33545;109;3;0;0|0|0;383|373|330
39679;gib Rex;8219;No Pants Allowed;8904;koth_coalplant_b7;2014-02-17 00:00:00;157162;koth_coalplant_b7;2;609;9922;29;13013;59;0;2;1|1;389|220
39679;gib Rex;8219;No Pants Allowed;8904;koth_coalplant_b7;2014-02-17 00:00:00;157080;koth_coalplant_b7;3;1211;39078;125;47970;184;0;3;1|1|1;379|418|414
